place_id,name,address,latitude,longitude,phone,website,rating,reviews_count,google_maps_url,business_status,types
ChIJE55EM5QJxkcRqiPLkelcimI,Fysiotherapie de Nieuwe Keizers,"Nieuwe Keizersgracht 45, 1018 VC Amsterdam",52.365698099999996,4.9068838,020 623 1833,http://www.fysiotherapie-keizersgracht.nl/pages/LSShowElementsPage_v2.asp?ListID=1380&elemid=23364&articleid=11400:107710,4.8,58,https://maps.google.com/?cid=7100589920746152874&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJwShhtrwJxkcRVHI5wJOh6_Q,Yorbody Fysiotherapie Amsterdam-Centrum,"Valkenburgerstraat 28, 1011 LZ Amsterdam",52.3702903,4.9079578999999995,06 19848422,https://www.yorbodyfysiotherapie.nl/praktijk/amsterdam-centrum-valkenburgerstraat/,4.9,74,https://maps.google.com/?cid=17648377220738675284&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|medical_clinic|health|point_of_interest|establishment
ChIJk5uO1-EHxkcRihBuFLMPrbc,Fysiotherapie Manueel therapie Radier - lid SchouderNetwerk Amsterdam Centrum direct online boeken,"Nieuwe Keizersgracht 45, 1018 VC Amsterdam",52.3657567,4.906848999999999,020 623 1833,http://www.fysiotherapieradier.nl/,5,19,https://maps.google.com/?cid=13235252141728075914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJk4n1CLwJxkcRHRR_EI2KTOg,Gertrud Pijnenburg Fysiotherapie,"Korte Keizersdwarsstraat 8, 1011 GJ Amsterdam",52.3715222,4.9029628,020 622 5477,https://www.gertrudpijnenburg.nl/,5,3,https://maps.google.com/?cid=16738906253501076509&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|service|health|point_of_interest|establishment
ChIJDefCJ9AJxkcRqmqJwtxEvLg,USC Fysiotherapie Amsterdam-Centrum @ Gezondheidscentrum Roeterseiland (REC),"Nieuwe Achtergracht 129, A, 1018 VZ Amsterdam",52.3637223,4.9122902999999996,020 240 6414,https://www.uscfysiotherapie.nl/,4.9,23,https://maps.google.com/?cid=13311590313547623082&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|medical_clinic|health|point_of_interest|establishment
ChIJSVNAnKAJxkcRmkQCW1V8XHA,Richard Smith Fysiotherapie,"Oostenburgergracht 15, 1018 NA Amsterdam",52.369204499999995,4.9211406,020 370 1556,http://www.richardsmithfysiotherapie.nl/,4.7,145,https://maps.google.com/?cid=8096482936146248858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJEWL1nawJxkcRNMv_yDAwVwo,Fysiotherapie & Training Amsterdam (Centrum Oost),"Windroosplein 96, 1081ZW Amsterdam",52.3729435,4.924649,020 330 4855,http://www.ftamsterdam.nl/,4.9,212,https://maps.google.com/?cid=745117249441876788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|service|health|point_of_interest|establishment
ChIJaU4UtZIJxkcR47zRSmCVras,Fysio Huis Amsterdam,"Tweede Jacob van Campenstraat 11, 1073 XN Amsterdam",52.3573568,4.8931195,020 671 3312,http://www.fysio-huis.com/,5,448,https://maps.google.com/?cid=12370707992261278947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJ97ggmmMJxkcRdyJYsWzZmr0,KINGNETIC - Restore Human Mechanics | Fysiotherapie Amsterdam,"Nieuwe Kerkstraat 28A, 1018 EB Amsterdam",52.363827,4.9042614,,https://www.kingnetic.nl/en/home/,5,19,https://maps.google.com/?cid=13662471480436859511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|service|health|point_of_interest|establishment
ChIJ33yIfZsJxkcRZEh1zRcE51E,FysioHolland Amsterdam Oost Oosterpark,"Blasiusstraat 128, 1091 CZ Amsterdam",52.357376699999996,4.9128822,020 694 6254,https://www.fysioholland.nl/praktijken-en-zorgprofessionals/praktijken/fysioholland-amsterdam-oost-oosterpark,4.2,52,https://maps.google.com/?cid=5901690336970098788&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|medical_clinic|health|point_of_interest|establishment
ChIJ12yui-sJxkcRc0XgFYs6Qdc,Groepspraktijk Weteringstraat,"Weteringstraat 21HS, 1017 SL Amsterdam",52.3617249,4.8889667999999995,020 627 6802,http://www.fysio-weteringstraat.nl/,4.4,7,https://maps.google.com/?cid=15510742960682583411&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJ3cMW0I8JxkcRe5R3pDIhsw0,Bleeksma Fysiotherapie,"Servaes Noutsstraat 4-HS, 1074 EC Amsterdam",52.355153099999995,4.9030517,020 664 1890,https://bleeksmafysiotherapie.nl/,5,25,https://maps.google.com/?cid=987169244715652219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJG5b5rJsJxkcR0LgKjJWAPYo,USC Fysiotherapie Amsterdam Wibautstraat | USC Physiotherapy Amsterdam,"INGANG: Wibautstraat 5, sportcentrum Amstelcampus, Tweede Boerhaavestraat 10, 1091 AN Amsterdam",52.3584264,4.909997,020 240 6414,https://www.uscfysiotherapie.nl/,5,75,https://maps.google.com/?cid=9961259330601400528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJDxc61REJxkcRqfWwFI0nuqU,Back On Track Fysiotherapie,"Kerkstraat 248, 1017 HA Amsterdam",52.362763699999995,4.8927042,06 54711629,https://www.backontrackfysiotherapie.nl/,5,3,https://maps.google.com/?cid=11941900848817305001&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJl1djk4IJxkcR08Zmsml8nlk,Fysiotherapie Transvaalbuurt,"Joubertstraat 15, F1091 XN Amsterdam",52.3533991,4.9172611,06 28986276,http://www.fysiotherapietransvaalbuurt.nl/,4.9,202,https://maps.google.com/?cid=6457735709102360275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|medical_clinic|health|point_of_interest|establishment
ChIJo_yWjo4JxkcRPmEOpxl2T8U,Fysiotherapie Van Wou,"Rustenburgerstraat 148-A-B, 1073 GJ Amsterdam",52.3527621,4.8998919999999995,020 673 0460,https://www.fysiotherapievanwou.nl/,4.8,18,https://maps.google.com/?cid=14217712401180942654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJdd5Mt_cJxkcRI0kRqH839Z4,"fysiotherapie drs. Erik (H.)J.M. Obbens, bewegingswetenschapper","Windroosplein 96, 1018 ZW Amsterdam",52.3729435,4.924649,020 723 0762,https://ftamsterdam.nl/,5,2,https://maps.google.com/?cid=11454122248706804003&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJEXboig4JxkcRGlV1K1JeoLE,Fysiotherapie De Keyzer,"Czaar Peterstraat 4, 1018 PR Amsterdam",52.368291,4.9268095,020 627 1429,http://sag-fysiotherapie.nl/,4.8,5,https://maps.google.com/?cid=12799333847996388634&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
ChIJwUdwD9AJxkcRzJLP3-lqcQc,Fysiotherapie Centrum Amsterdam,"Westerstraat 148, 1015 MP Amsterdam",52.3783799,4.8824416,020 471 3456,http://www.fysiotherapiecentrumamsterdam.nl/,5,13,https://maps.google.com/?cid=536327383348646604&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|medical_clinic|health|point_of_interest|establishment
ChIJrSyE39wJxkcRZdFmJeeX1mc,bbb fysiotherapie,"Hazenstraat 53, 1016 SN Amsterdam",52.3699568,4.8804549,06 48647837,http://bbbfysiotherapie.nl/,5,6,https://maps.google.com/?cid=7482334849943392613&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJY51A0I8JxkcRdPTCMj5Z0dE,Fysiotherapie Nelleke van Thienen,"Servaes Noutsstraat 4HS, 1074 ED Amsterdam",52.3550864,4.9031528,06 42650713,http://fysiotherapienellekevanthienen.nl/,4,4,https://maps.google.com/?cid=15118963547733947508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJE55EM5QJxkcR948shIDJMMg,J.M. ten Kulve Fysiotherapie B.V.,"Keizersgracht 790, 1017 EC Amsterdam",52.363730499999996,4.899455,020 623 1833,http://www.fysiotherapie-keizersgracht.nl/,,,https://maps.google.com/?cid=14425251160278208503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,physiotherapist|health|point_of_interest|establishment
ChIJ_ciqV90JxkcRwSpiT2x05vc,René Bekker fysiotherapie,"Passeerdersstraat 45, 1016 XB Amsterdam",52.367427299999996,4.880762400000001,020 638 0657,http://fysiotherapierenebekker.nl/,5,1,https://maps.google.com/?cid=17863092980548774593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,OPERATIONAL,medical_clinic|health|point_of_interest|establishment
